model,threshold,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std
Random Forest,0.2,0.5482913155955883,1.0,0.7082534275982483,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.25,0.5485655374246187,0.9999292764985804,0.7084644210842791,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.3,0.5496091969358371,0.998888630691979,0.7090721967417692,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.35,0.6972170243261536,0.7077199753478081,0.702429241144175,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.4,0.8079594465916092,0.5829435121290805,0.6772502919789423,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.45,0.8437567559220482,0.5520474453660952,0.6674199163282133,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.5,0.8489017505574268,0.5423684290289663,0.6618664233666638,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.55,0.8489210914337355,0.5409741657152671,0.6608330762110459,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.6,0.8490176786111023,0.5405296179920588,0.6605305233006772,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.65,0.8494266747133373,0.5403780676318741,0.6605410545685828,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
Random Forest,0.7,0.8621419548666825,0.5102801660991948,0.6411058714513294,0.749432207536172,0.8153185390541553,0.7309995342430538,0.002001398454664328,0.8006652455396152,0.002109904322784734
